"Region Code","Timestamp (Hour Ending)","Wind Generation (MWh)","Solar Generation (MWh)","Hydro Generation (MWh)","Other Generation (MWh)","Petroleum Generation (MWh)","Natural gas Generation (MWh)","Coal Generation (MWh)","Nuclear Generation (MWh)"
US48,"5/27/2024 11 a.m. EDT",31912.59,45487.28,31358.62,6189.98,1019,172589.78,62090.27,94079
US48,"5/27/2024 12 p.m. EDT",34448.99,57302.55,31937.09,5488.44,991,180120.46,63899.55,93872
US48,"5/27/2024 1 p.m. EDT",37327.71,64311.96,32717.57,5524.38,1127,188979.22,66339.38,93890
US48,"5/27/2024 2 p.m. EDT",38191.84,67263.26,34155.3,5759.43,1060,198566.12,68084.99,93832
US48,"5/27/2024 3 p.m. EDT",40754.8,68759.41,36308.31,4621.82,1008,206655.76,68755.1,93910
US48,"5/27/2024 4 p.m. EDT",42880.72,67967.18,38769.58,4215.12,1165,215013.92,70093.12,93887
US48,"5/27/2024 5 p.m. EDT",44480.8,64753.17,41700.61,4494.51,1278,222788.56,72857.43,93904
US48,"5/27/2024 6 p.m. EDT",45912.6,59757.08,45223.55,5096.8,1493,227435.62,75301.61,93917
US48,"5/27/2024 7 p.m. EDT",45997.65,52597.67,46210.52,5293.58,1840,233338.52,76638.05,94012
US48,"5/27/2024 8 p.m. EDT",46209.09,42194.68,46476.04,6295.6,1433,233222.96,77619.29,94067
US48,"5/27/2024 9 p.m. EDT",45908.55,30291.54,45581.33,7213.71,1187,234348.86,77860.59,94123
US48,"5/27/2024 10 p.m. EDT",44997.34,18878.5,44027.77,8074.83,1137,228782.98,79856.89,93968
US48,"5/27/2024 11 p.m. EDT",50687.44,9392.4,42751.86,9007.58,780,213319.06,77910.34,93842
US48,"5/28/2024 12 a.m. EDT",58432.61,2328.51,40608.82,12051.89,310,193390.26,72207.27,94251
US48,"5/28/2024 1 a.m. EDT",58814.36,720.9,38703.47,10598.77,343,186054.42,64864.33,93864
US48,"5/28/2024 2 a.m. EDT",61533.16,569.33,36281.02,9115.94,358,171050.32,58129.2,93924
US48,"5/28/2024 3 a.m. EDT",59827.38,311.87,33693.96,6866.79,323,163441.26,53828.62,93791
